Mutant, System, Mutation Operator, Human-Fail, Branch-Fail, Default-Fail, Human-Error, Branch-Error, Default-Error,result
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_3,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_30,commonsCompress,EMM,1,1,1,1,1,1,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_31,commonsCompress,EMM,0,1,1,1,0,0,branch-and-multiobjective
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_32,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_33,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_35,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_37,commonsCompress,EMM,1,1,1,1,1,1,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_38,commonsCompress,EMM,1,1,1,1,1,1,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_39,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_4,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_5,commonsCompress,EMM,0,1,1,1,0,0,branch-and-multiobjective
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_6,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_7,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_EMM_8,commonsCompress,EMM,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_JSI_5,commonsCompress,JSI,0,1,0,1,0,0,only-branch
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_JTI_12,commonsCompress,JTI,1,1,1,1,0,0,all-detect
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_JTI_13,commonsCompress,JTI,0,1,1,1,1,1,branch-and-multiobjective
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_JTI_2,commonsCompress,JTI,0,1,1,1,1,1,branch-and-multiobjective
org.apache.commons.compress.archivers.cpio.CpioArchiveEntry_JTI_5,commonsCompress,JTI,0,0,1,1,0,0,only-multiobjective
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_103,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_104,commonsCompress,EMM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_116,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_117,commonsCompress,EMM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_129,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_130,commonsCompress,EMM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_14,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_142,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_143,commonsCompress,EMM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_15,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_155,commonsCompress,EMM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_156,commonsCompress,EMM,1,0,0,1,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_16,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_17,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_18,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_19,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_20,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_21,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_22,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream_EMM_25,commonsCompress,EMM,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_13,commonsCompress,JTI,1,1,1,1,0,0,all-detect
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_14,commonsCompress,JTI,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_17,commonsCompress,JTI,0,1,1,1,0,0,branch-and-multiobjective
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_2,commonsCompress,JTI,1,1,1,1,0,0,all-detect
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_20,commonsCompress,JTI,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_21,commonsCompress,JTI,0,0,1,1,0,0,only-multiobjective
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_3,commonsCompress,JTI,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_4,commonsCompress,JTI,1,1,1,0,0,0,all-detect
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_5,commonsCompress,JTI,0,1,1,1,0,0,branch-and-multiobjective
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_JTI_8,commonsCompress,JTI,0,1,1,1,0,0,branch-and-multiobjective
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_10,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_100,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1000,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1001,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1002,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1003,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1004,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1005,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1006,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1007,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1008,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1009,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_101,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1010,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1011,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1012,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1013,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1014,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1015,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1016,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1017,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1018,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1019,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_102,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1020,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1021,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1022,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1023,commonsCompress,OAN,1,0,0,0,0,0,only-human
org.apache.commons.compress.archivers.sevenz.SevenZArchiveEntry_OAN_1024,commonsCompress,OAN,1,0,0,0,0,0,only-human
